127.0.0.1 - - [12/Nov/2015:16:19:07 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Nov/2015:16:19:08 +0530] "GET /HRProject/ HTTP/1.1" 200 4866
0:0:0:0:0:0:0:1 - - [12/Nov/2015:16:19:09 +0530] "GET /HRProject/css/core.css HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [12/Nov/2015:16:19:09 +0530] "GET /HRProject/css/csssheet.css HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [12/Nov/2015:16:19:09 +0530] "GET /HRProject/css/core.js HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [12/Nov/2015:16:19:09 +0530] "GET /HRProject/jQueryAssets/jquery.ui.core.min.css HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [12/Nov/2015:16:19:09 +0530] "GET /HRProject/jQueryAssets/jquery.ui.dialog.min.css HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [12/Nov/2015:16:19:09 +0530] "GET /HRProject/jQueryAssets/jquery.ui.theme.min.css HTTP/1.1" 200 14206
0:0:0:0:0:0:0:1 - - [12/Nov/2015:16:19:09 +0530] "GET /HRProject/jQueryAssets/jquery.ui.resizable.min.css HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [12/Nov/2015:16:19:09 +0530] "GET /HRProject/jQueryAssets/jquery-1.8.3.min.js HTTP/1.1" 200 93637
0:0:0:0:0:0:0:1 - - [12/Nov/2015:16:19:09 +0530] "GET /HRProject/jQueryAssets/jquery-ui-1.9.2.dialog.custom.min.js HTTP/1.1" 200 99471
0:0:0:0:0:0:0:1 - - [12/Nov/2015:16:19:09 +0530] "GET /HRProject/js/userlogin.js HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [12/Nov/2015:16:19:09 +0530] "GET /HRProject/js/fblogin.js HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [12/Nov/2015:16:19:09 +0530] "GET /HRProject/js/core.js HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [12/Nov/2015:16:19:09 +0530] "GET /HRProject/css/header1.jpg HTTP/1.1" 200 58561
0:0:0:0:0:0:0:1 - - [12/Nov/2015:16:19:09 +0530] "GET /HRProject/css/hr.gif HTTP/1.1" 200 62679
